[00:24:38]: Engine ->> Window Initialized
[00:24:38]: Engine ->> Renderer Initialized
[00:24:52]: Engine ->> Window Resize Call
[00:24:52]: Engine ->> Window Resize Call
[00:24:52]: Engine ->> Window Resize Call
[00:24:52]: Engine ->> Window Resize Call
[00:24:52]: Engine ->> Window Resize Call
[00:24:52]: Engine ->> Window Resize Call
[00:24:52]: Engine ->> Window Resize Call
[00:24:52]: Engine ->> Window Resize Call
[00:24:52]: Engine ->> Window Resize Call
[00:24:52]: Engine ->> Window Resize Call
[00:24:52]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:53]: Engine ->> Window Resize Call
[00:24:59]: Engine ->> WindowClose
